ID,Frame ID,Timecourse ID,Stomat ID,Genotype,Treatment,Total Fluorescence
60,c,0,4,a,Treatment_A,17539.196
60,c,10,4,a,Treatment_A,17010.088
60,c,20,4,a,Treatment_A,138594.7
60,c,30,4,a,Treatment_A,236909.516
61,c,0,5,a,Treatment_A,3721.09
61,c,10,5,a,Treatment_A,-157.48
61,c,20,5,a,Treatment_A,57688.25
61,c,30,5,a,Treatment_A,120731.89
62,c,0,6,a,Treatment_A,5027.267
62,c,10,6,a,Treatment_A,2361.176
62,c,20,6,a,Treatment_A,67714.275
62,c,30,6,a,Treatment_A,167727.407
63,d,0,1,a,Treatment_A,266506.6364
63,d,10,1,a,Treatment_A,672294.3778
63,d,20,1,a,Treatment_A,1395020.213
63,d,30,1,a,Treatment_A,1675088.756
64,d,0,2,a,Treatment_A,487824.591
64,d,10,2,a,Treatment_A,641069.058
64,d,20,2,a,Treatment_A,450210.769
64,d,30,2,a,Treatment_A,428856.781
65,d,0,3,a,Treatment_A,125023.7573
65,d,10,3,a,Treatment_A,259235.8755
65,d,20,3,a,Treatment_A,891301.2028
65,d,30,3,a,Treatment_A,939707.4098
66,d,0,4,a,Treatment_A,272989.7729
66,d,10,4,a,Treatment_A,431076.7193
66,d,20,4,a,Treatment_A,380740.6871
66,d,30,4,a,Treatment_A,395144.5816
67,d,0,5,a,Treatment_A,191756.7793
67,d,10,5,a,Treatment_A,273607.9115
67,d,20,5,a,Treatment_A,234788.3008
67,d,30,5,a,Treatment_A,247483.4118
68,d,0,6,a,Treatment_A,239765.532
68,d,10,6,a,Treatment_A,437861.416
68,d,20,6,a,Treatment_A,646470.188
68,d,30,6,a,Treatment_A,740146.412
69,d,0,7,a,Treatment_A,334929.9981
69,d,10,7,a,Treatment_A,582685.1788
69,d,20,7,a,Treatment_A,521601.7019
69,d,30,7,a,Treatment_A,480337.5794
70,d,0,8,a,Treatment_A,299044.5163
70,d,10,8,a,Treatment_A,553851.1175
70,d,20,8,a,Treatment_A,724957.0838
70,d,30,8,a,Treatment_A,723358.4788
71,e,0,1,a,Treatment_A,328170.1775
71,e,10,1,a,Treatment_A,983368.5162
71,e,20,1,a,Treatment_A,1452462.354
71,e,30,1,a,Treatment_A,1959969.177
72,e,0,2,a,Treatment_A,125168.79
72,e,10,2,a,Treatment_A,409495.902
72,e,20,2,a,Treatment_A,980929.75
72,e,30,2,a,Treatment_A,937825.96
73,e,0,3,a,Treatment_A,323401.3375
73,e,10,3,a,Treatment_A,702705.7908
73,e,20,3,a,Treatment_A,736199.0208
73,e,30,3,a,Treatment_A,798070.6833
74,e,0,4,a,Treatment_A,210979.98
74,e,10,4,a,Treatment_A,605849.524
74,e,20,4,a,Treatment_A,949287.5
74,e,30,4,a,Treatment_A,1027146.52
75,e,0,5,a,Treatment_A,36407.98
75,e,10,5,a,Treatment_A,157555.8573
75,e,20,5,a,Treatment_A,600436.8333
75,e,30,5,a,Treatment_A,471029.8533
76,e,0,6,a,Treatment_A,468238.29
76,e,10,6,a,Treatment_A,478758.5353
76,e,20,6,a,Treatment_A,274096.5833
76,e,30,6,a,Treatment_A,337485.2933
77,a,0,1,ao,Treatment_A,349412.8313
77,a,10,1,ao,Treatment_A,480686.7338
77,a,20,1,ao,Treatment_A,240030.78
77,a,30,1,ao,Treatment_A,388622.7281
78,a,0,2,ao,Treatment_A,520623.045
78,a,10,2,ao,Treatment_A,530656.951
78,a,20,2,ao,Treatment_A,631782.352
78,a,30,2,ao,Treatment_A,830879.9725
79,a,0,3,ao,Treatment_A,511762.4213
79,a,10,3,ao,Treatment_A,541027.5358
79,a,20,3,ao,Treatment_A,551687.284
79,a,30,3,ao,Treatment_A,779771.4231
80,a,0,4,ao,Treatment_A,348291.1463
80,a,10,4,ao,Treatment_A,292474.1908
80,a,20,4,ao,Treatment_A,665832.844
80,a,30,4,ao,Treatment_A,767320.5356
81,a,0,5,ao,Treatment_A,488551.2463
81,a,10,5,ao,Treatment_A,607977.7708
81,a,20,5,ao,Treatment_A,497229.004
81,a,30,5,ao,Treatment_A,768977.0856
82,a,0,6,ao,Treatment_A,377714.2575
82,a,10,6,ao,Treatment_A,290421.3085
82,a,20,6,ao,Treatment_A,537499.192
82,a,30,6,ao,Treatment_A,679838.7038
83,a,0,7,ao,Treatment_A,383616.3213
83,a,10,7,ao,Treatment_A,520596.5558
83,a,20,7,ao,Treatment_A,392310.324
83,a,30,7,ao,Treatment_A,511740.8731
84,a,0,8,ao,Treatment_A,280423.77
84,a,10,8,ao,Treatment_A,314173.806
84,a,20,8,ao,Treatment_A,331149.312
84,a,30,8,ao,Treatment_A,445713.085
85,b,0,1,ao,Treatment_A,384068.73
85,b,10,1,ao,Treatment_A,586433.604
85,b,20,1,ao,Treatment_A,672964.17
85,b,30,1,ao,Treatment_A,334306.984
86,b,0,2,ao,Treatment_A,512596.115
86,b,10,2,ao,Treatment_A,830714.702
86,b,20,2,ao,Treatment_A,1314829.835
86,b,30,2,ao,Treatment_A,593551.892
87,b,0,3,ao,Treatment_A,594171.815
87,b,10,3,ao,Treatment_A,950609.862
87,b,20,3,ao,Treatment_A,1370301.135
87,b,30,3,ao,Treatment_A,646031.252
88,b,0,4,ao,Treatment_A,510519.3975
88,b,10,4,ao,Treatment_A,575137.183
88,b,20,4,ao,Treatment_A,288847.7775
88,b,30,4,ao,Treatment_A,610307.818
89,b,0,5,ao,Treatment_A,380644.1725
89,b,10,5,ao,Treatment_A,498440.253
89,b,20,5,ao,Treatment_A,436569.7525
89,b,30,5,ao,Treatment_A,520685.038
90,b,0,6,ao,Treatment_A,618198.35
90,b,10,6,ao,Treatment_A,700885.58
90,b,20,6,ao,Treatment_A,549465.15
90,b,30,6,ao,Treatment_A,735492.68
91,c,0,1,ao,Treatment_A,169022.8783
91,c,10,1,ao,Treatment_A,259646.6733
91,c,20,1,ao,Treatment_A,135222.7817
91,c,30,1,ao,Treatment_A,479711.655
92,c,0,2,ao,Treatment_A,301874.4993
92,c,10,2,ao,Treatment_A,364973.5653
92,c,20,2,ao,Treatment_A,275981.0687
92,c,30,2,ao,Treatment_A,536510.794
95,d,0,1,ao,Treatment_A,453528.3603
95,d,10,1,ao,Treatment_A,594166.9158
95,d,20,1,ao,Treatment_A,552526.9345
95,d,30,1,ao,Treatment_A,701780.127
96,d,0,2,ao,Treatment_A,587451.4275
96,d,10,2,ao,Treatment_A,726001.1325
96,d,20,2,ao,Treatment_A,789261.195
96,d,30,2,ao,Treatment_A,776542.37
97,d,0,3,ao,Treatment_A,373065.502
97,d,10,3,ao,Treatment_A,706094.986
97,d,20,3,ao,Treatment_A,381264.636
97,d,30,3,ao,Treatment_A,724268.576
98,d,0,4,ao,Treatment_A,263554.712
98,d,10,4,ao,Treatment_A,528864.016
98,d,20,4,ao,Treatment_A,285080.416
98,d,30,4,ao,Treatment_A,576134.056
99,e,0,1,ao,Treatment_A,82745.13225
99,e,10,1,ao,Treatment_A,224939.374
99,e,20,1,ao,Treatment_A,208176.3873
99,e,30,1,ao,Treatment_A,158806.2968
100,e,0,2,ao,Treatment_A,51232.193
100,e,10,2,ao,Treatment_A,144406.232
100,e,20,2,ao,Treatment_A,135700.951
100,e,30,2,ao,Treatment_A,112372.779
101,e,0,3,ao,Treatment_A,132302.1335
101,e,10,3,ao,Treatment_A,344633.404
101,e,20,3,ao,Treatment_A,304743.1345
101,e,30,3,ao,Treatment_A,251209.8005
102,e,0,4,ao,Treatment_A,151170.8455
102,e,10,4,ao,Treatment_A,403812.892
102,e,20,4,ao,Treatment_A,368024.5185
102,e,30,4,ao,Treatment_A,307853.7365
103,a,0,1,Col.Ler,Treatment_A,398343.5194
103,a,10,1,Col.Ler,Treatment_A,573805.5523
103,a,20,1,Col.Ler,Treatment_A,522475.8374
103,a,30,1,Col.Ler,Treatment_A,883463.0444
104,a,0,2,Col.Ler,Treatment_A,342710.22
104,a,10,2,Col.Ler,Treatment_A,464374.57
104,a,20,2,Col.Ler,Treatment_A,466982.99
104,a,30,2,Col.Ler,Treatment_A,682984.595
105,a,0,3,Col.Ler,Treatment_A,384026.8646
105,a,10,3,Col.Ler,Treatment_A,753415.9517
105,a,20,3,Col.Ler,Treatment_A,885965.8906
105,a,30,3,Col.Ler,Treatment_A,941465.5396
106,a,0,4,Col.Ler,Treatment_A,433265.2817
106,a,10,4,Col.Ler,Treatment_A,279601.8831
106,a,20,4,Col.Ler,Treatment_A,187878.2677
106,a,30,4,Col.Ler,Treatment_A,574515.9567
107,a,0,5,Col.Ler,Treatment_A,432175.928
107,a,10,5,Col.Ler,Treatment_A,623999.468
107,a,20,5,Col.Ler,Treatment_A,592008.676
107,a,30,5,Col.Ler,Treatment_A,917793.578
108,a,0,6,Col.Ler,Treatment_A,447153.5257
108,a,10,6,Col.Ler,Treatment_A,541227.7971
108,a,20,6,Col.Ler,Treatment_A,409881.8657
108,a,30,6,Col.Ler,Treatment_A,690928.7757
109,a,0,7,Col.Ler,Treatment_A,534768.1994
109,a,10,7,Col.Ler,Treatment_A,403375.6323
109,a,20,7,Col.Ler,Treatment_A,256277.3974
109,a,30,7,Col.Ler,Treatment_A,809190.2244
110,b,0,1,Col.Ler,Treatment_A,251138.1053
110,b,10,1,Col.Ler,Treatment_A,115223.5533
110,b,20,1,Col.Ler,Treatment_A,74185.79867
110,b,30,1,Col.Ler,Treatment_A,337659.1387
111,b,0,2,Col.Ler,Treatment_A,196789.0417
111,b,10,2,Col.Ler,Treatment_A,77407.29167
111,b,20,2,Col.Ler,Treatment_A,48315.20833
111,b,30,2,Col.Ler,Treatment_A,234372.0833
112,b,0,3,Col.Ler,Treatment_A,450733.0873
112,b,10,3,Col.Ler,Treatment_A,490959.6683
112,b,20,3,Col.Ler,Treatment_A,438803.9407
112,b,30,3,Col.Ler,Treatment_A,690376.0707
113,c,0,1,Col.Ler,Treatment_A,454172.861
113,c,10,1,Col.Ler,Treatment_A,724034.6603
113,c,20,1,Col.Ler,Treatment_A,658991.4983
113,c,30,1,Col.Ler,Treatment_A,759689.74
114,c,0,2,Col.Ler,Treatment_A,478944.629
114,c,10,2,Col.Ler,Treatment_A,640133.5153
114,c,20,2,Col.Ler,Treatment_A,687761.9133
114,c,30,2,Col.Ler,Treatment_A,486461.54
115,c,0,3,Col.Ler,Treatment_A,554146.94
115,c,10,3,Col.Ler,Treatment_A,484219.615
115,c,20,3,Col.Ler,Treatment_A,476398.895
115,c,30,3,Col.Ler,Treatment_A,653017.4
